timestamp,left_gaze,right_gaze
2025-03-29 16:46:09.153756,Uncertain,Uncertain
2025-03-29 16:46:09.187818,Uncertain,Uncertain
2025-03-29 16:46:09.221195,Uncertain,Uncertain
2025-03-29 16:46:09.253798,Uncertain,Uncertain
2025-03-29 16:46:09.287645,Uncertain,Uncertain
2025-03-29 16:46:09.321175,Uncertain,Uncertain
2025-03-29 16:46:09.353968,Uncertain,Uncertain
2025-03-29 16:46:09.386990,Uncertain,Uncertain
2025-03-29 16:46:09.420626,Uncertain,Uncertain
2025-03-29 16:46:09.454223,Uncertain,Uncertain
2025-03-29 16:46:09.487305,Uncertain,Uncertain
2025-03-29 16:46:09.521112,Uncertain,Uncertain
2025-03-29 16:46:09.553910,Uncertain,Uncertain
2025-03-29 16:46:09.587553,Uncertain,Uncertain
2025-03-29 16:46:09.620878,Uncertain,Uncertain
2025-03-29 16:46:09.654614,Uncertain,Uncertain
2025-03-29 16:46:09.687847,Uncertain,Uncertain
2025-03-29 16:46:09.721229,Uncertain,Uncertain
2025-03-29 16:46:09.753519,Uncertain,Uncertain
2025-03-29 16:46:09.787717,Uncertain,Uncertain
2025-03-29 16:46:09.820566,Uncertain,Uncertain
2025-03-29 16:46:09.853363,Uncertain,Uncertain
2025-03-29 16:46:09.887741,Uncertain,Uncertain
2025-03-29 16:46:09.920567,Uncertain,Uncertain
2025-03-29 16:46:09.953359,Uncertain,Uncertain
2025-03-29 16:46:09.987549,Uncertain,Uncertain
2025-03-29 16:46:10.020521,Uncertain,Uncertain
2025-03-29 16:46:10.053534,Uncertain,Uncertain
2025-03-29 16:46:10.087310,Uncertain,Uncertain
2025-03-29 16:46:10.120431,Uncertain,Uncertain
2025-03-29 16:46:10.153993,Uncertain,Uncertain
2025-03-29 16:46:10.186985,Uncertain,Uncertain
2025-03-29 16:46:10.218825,Uncertain,Uncertain
2025-03-29 16:46:10.253021,Uncertain,Uncertain
2025-03-29 16:46:10.287078,Uncertain,Uncertain
2025-03-29 16:46:10.319545,Uncertain,Uncertain
2025-03-29 16:46:10.353367,Uncertain,Uncertain
2025-03-29 16:46:10.386410,Uncertain,Uncertain
2025-03-29 16:46:10.420309,Uncertain,Uncertain
2025-03-29 16:46:10.453326,Uncertain,Uncertain
2025-03-29 16:46:10.486782,Uncertain,Uncertain
2025-03-29 16:46:10.520385,Uncertain,Uncertain
2025-03-29 16:46:10.553384,Uncertain,Uncertain
2025-03-29 16:46:10.586804,Uncertain,Uncertain
2025-03-29 16:46:10.620102,Uncertain,Uncertain
2025-03-29 16:46:10.653846,Uncertain,Uncertain
2025-03-29 16:46:10.686110,Uncertain,Uncertain
2025-03-29 16:46:10.720096,Uncertain,Uncertain
2025-03-29 16:46:10.753374,Uncertain,Uncertain
2025-03-29 16:46:10.787091,Uncertain,Uncertain
2025-03-29 16:46:10.820463,Uncertain,Uncertain
2025-03-29 16:46:10.853217,Uncertain,Uncertain
2025-03-29 16:46:10.887165,Uncertain,Uncertain
2025-03-29 16:46:10.919528,Uncertain,Uncertain
2025-03-29 16:46:10.953724,Uncertain,Uncertain
2025-03-29 16:46:10.986976,Uncertain,Uncertain
2025-03-29 16:46:11.020381,Uncertain,Uncertain
2025-03-29 16:46:11.053368,Uncertain,Uncertain
2025-03-29 16:46:11.086479,Uncertain,Uncertain
2025-03-29 16:46:11.120230,Uncertain,Uncertain
2025-03-29 16:46:11.151711,Uncertain,Uncertain
2025-03-29 16:46:11.186638,Uncertain,Uncertain
2025-03-29 16:46:11.219634,Uncertain,Uncertain
2025-03-29 16:46:11.252983,Uncertain,Uncertain
2025-03-29 16:46:11.287205,Uncertain,Uncertain
2025-03-29 16:46:11.320384,Uncertain,Uncertain
2025-03-29 16:46:11.352283,Uncertain,Uncertain
2025-03-29 16:46:11.385833,Uncertain,Uncertain
2025-03-29 16:46:11.419797,Uncertain,Uncertain
2025-03-29 16:46:11.452487,Uncertain,Uncertain
2025-03-29 16:46:11.486545,Uncertain,Uncertain
2025-03-29 16:46:11.519952,Uncertain,Uncertain
2025-03-29 16:46:11.552556,Uncertain,Uncertain
2025-03-29 16:46:11.586577,Uncertain,Uncertain
2025-03-29 16:46:11.619879,Uncertain,Uncertain
2025-03-29 16:46:11.653013,Uncertain,Uncertain
2025-03-29 16:46:11.686137,Uncertain,Uncertain
2025-03-29 16:46:11.719594,Uncertain,Uncertain
2025-03-29 16:46:11.752139,Uncertain,Uncertain
2025-03-29 16:46:11.786165,Uncertain,Uncertain
2025-03-29 16:46:11.820113,Uncertain,Uncertain
2025-03-29 16:46:11.853559,Uncertain,Uncertain
2025-03-29 16:46:11.886043,Uncertain,Uncertain
2025-03-29 16:46:11.920067,Uncertain,Uncertain
2025-03-29 16:46:11.952481,Uncertain,Uncertain
2025-03-29 16:46:11.985577,Uncertain,Uncertain
2025-03-29 16:46:12.019817,Uncertain,Uncertain
2025-03-29 16:46:12.053262,Uncertain,Uncertain
2025-03-29 16:46:12.086274,Uncertain,Uncertain
2025-03-29 16:46:12.119487,Uncertain,Uncertain
2025-03-29 16:46:12.152912,Uncertain,Uncertain
2025-03-29 16:46:12.186487,Uncertain,Uncertain
2025-03-29 16:46:12.219446,Uncertain,Uncertain
2025-03-29 16:46:12.252549,Uncertain,Uncertain
2025-03-29 16:46:12.286175,Uncertain,Uncertain
2025-03-29 16:46:12.318890,Uncertain,Uncertain
2025-03-29 16:46:12.352564,Uncertain,Uncertain
2025-03-29 16:46:12.386278,Uncertain,Uncertain
2025-03-29 16:46:12.419794,Uncertain,Uncertain
2025-03-29 16:46:12.452522,Uncertain,Uncertain
2025-03-29 16:46:12.486128,Uncertain,Uncertain
2025-03-29 16:46:12.519482,Uncertain,Uncertain
2025-03-29 16:46:12.552814,Uncertain,Uncertain
2025-03-29 16:46:12.585952,Uncertain,Uncertain
2025-03-29 16:46:12.618660,Uncertain,Uncertain
2025-03-29 16:46:12.652413,Uncertain,Uncertain
2025-03-29 16:46:12.685897,Uncertain,Uncertain
2025-03-29 16:46:12.718630,Uncertain,Uncertain
2025-03-29 16:46:12.752443,Uncertain,Uncertain
2025-03-29 16:46:12.785692,Uncertain,Uncertain
2025-03-29 16:46:12.819120,Uncertain,Uncertain
2025-03-29 16:46:12.852262,Uncertain,Uncertain
2025-03-29 16:46:12.885141,Uncertain,Uncertain
2025-03-29 16:46:12.918304,Uncertain,Uncertain
2025-03-29 16:46:12.952036,Uncertain,Uncertain
2025-03-29 16:46:12.985705,Uncertain,Uncertain
2025-03-29 16:46:13.018257,Uncertain,Uncertain
2025-03-29 16:46:13.051260,Uncertain,Uncertain
2025-03-29 16:46:13.085474,Uncertain,Uncertain
2025-03-29 16:46:13.117840,Uncertain,Uncertain
2025-03-29 16:46:13.151229,Uncertain,Uncertain
2025-03-29 16:46:13.185421,Uncertain,Uncertain
2025-03-29 16:46:13.218761,Uncertain,Uncertain
2025-03-29 16:46:13.251286,Uncertain,Uncertain
2025-03-29 16:46:13.284876,Uncertain,Uncertain
2025-03-29 16:46:13.318935,Uncertain,Uncertain
2025-03-29 16:46:13.351852,Uncertain,Uncertain
2025-03-29 16:46:13.385276,Uncertain,Uncertain
2025-03-29 16:46:13.418194,Uncertain,Uncertain
2025-03-29 16:46:13.451399,Uncertain,Uncertain
2025-03-29 16:46:13.484594,Uncertain,Uncertain
2025-03-29 16:46:13.518548,Uncertain,Uncertain
2025-03-29 16:46:13.550582,Uncertain,Uncertain
2025-03-29 16:46:13.584895,Uncertain,Uncertain
2025-03-29 16:46:13.618111,Uncertain,Uncertain
2025-03-29 16:46:13.651413,Uncertain,Uncertain
2025-03-29 16:46:13.685063,Uncertain,Uncertain
