frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.031,0.98,1,0.00,0.00,0.00,0.00,0.10,0.28,0.01,0.00,0.00,0.00,0.85,1.39,0.45,0.19,0.00,0.28,0.15,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
2,0,0.630,0.98,1,0.18,0.00,0.00,0.00,0.03,0.09,0.03,0.00,0.00,0.00,0.28,0.95,0.15,0.06,0.00,0.34,0.12,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
3,0,0.697,0.98,1,0.42,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.00,0.00,0.67,0.03,0.00,0.00,0.29,0.07,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
4,0,0.763,0.98,1,0.56,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.65,0.03,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
5,0,0.831,0.98,1,0.55,0.00,0.00,0.00,0.00,0.09,0.07,0.00,0.00,0.02,0.00,0.66,0.03,0.00,0.00,0.15,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
6,0,0.897,0.98,1,0.43,0.00,0.00,0.00,0.00,0.08,0.07,0.00,0.00,0.02,0.00,0.81,0.02,0.00,0.00,0.25,0.04,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
7,0,1.032,0.98,1,0.33,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.00,0.02,0.00,0.74,0.06,0.00,0.05,0.20,0.04,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
8,0,1.098,0.98,1,0.22,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.64,0.20,0.00,0.20,0.28,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
9,0,1.163,0.98,1,0.34,0.00,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.14,0.00,0.49,0.19,0.00,0.24,0.13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
10,0,1.230,0.98,1,0.46,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.00,0.49,0.14,0.00,0.22,0.18,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
