frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.030,0.98,1,0.43,0.44,1.61,0.35,0.00,0.00,0.49,0.00,0.13,0.15,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.530,0.98,1,0.44,0.69,1.44,0.49,0.00,0.00,0.71,0.00,0.16,0.44,0.00,0.00,0.00,0.00,0.67,0.50,1.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.629,0.98,1,0.60,0.58,1.31,0.76,0.00,0.00,0.46,0.00,0.00,0.23,0.08,0.56,0.13,0.37,0.83,0.47,0.57,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.729,0.98,1,0.57,0.43,1.37,0.47,0.00,0.00,0.60,0.00,0.00,0.35,0.36,0.49,0.00,0.49,0.36,0.44,0.67,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.796,0.98,1,0.42,0.58,1.22,0.49,0.00,0.00,0.53,0.00,0.00,0.00,0.26,0.36,0.07,0.44,0.40,0.45,0.65,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.929,0.98,1,0.65,0.76,1.31,0.83,0.00,0.00,0.50,0.00,0.00,0.09,0.13,0.34,0.00,0.34,0.30,0.57,0.51,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.997,0.98,1,0.53,0.36,1.21,0.78,0.00,0.00,0.60,0.00,0.00,0.07,0.05,0.46,0.08,0.52,0.79,0.62,0.74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1.063,0.98,1,0.58,0.36,1.30,0.76,0.00,0.00,0.24,0.00,0.00,0.25,0.24,0.32,0.23,0.00,0.69,0.64,3.16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0,1.129,0.98,1,0.74,0.19,1.28,0.70,0.00,0.00,0.25,0.00,0.00,0.08,0.41,0.35,0.33,0.00,0.58,0.61,3.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1.196,0.98,1,0.05,0.09,0.00,0.00,0.34,1.25,0.30,0.40,0.07,0.03,0.27,0.13,0.42,0.02,0.09,0.05,1.78,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1.264,0.98,1,0.24,0.00,0.20,0.22,0.45,1.49,0.26,0.10,0.04,0.00,0.32,0.29,0.35,0.42,0.26,0.33,0.06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,1.329,0.98,1,0.11,0.24,0.32,0.04,0.53,1.62,0.40,0.33,0.06,0.00,0.29,0.36,0.34,0.50,0.13,0.32,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,1.396,0.98,1,0.15,0.48,0.26,0.20,0.45,1.62,0.25,0.31,0.03,0.00,0.09,0.29,0.31,0.53,0.38,0.33,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,1.463,0.98,1,0.00,0.13,0.13,0.52,0.51,1.19,0.17,0.36,0.00,0.02,0.30,0.34,0.17,0.59,0.45,0.36,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,1.529,0.98,1,0.01,0.28,0.05,0.32,0.53,1.28,0.33,0.30,0.05,0.13,0.15,0.47,0.27,0.67,0.45,0.37,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,1.597,0.98,1,0.05,0.21,0.00,0.57,0.51,1.00,0.14,0.30,0.01,0.26,0.01,0.42,0.15,0.64,0.34,0.22,0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,1.664,0.98,1,0.08,0.25,0.15,0.91,0.55,1.42,0.21,0.28,0.08,0.27,0.37,0.38,0.27,0.61,0.43,0.71,0.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
