frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.031,0.98,1,0.43,0.44,1.56,0.35,0.00,1.06,0.49,0.00,0.07,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.699,0.98,1,0.76,0.63,1.31,0.15,0.00,1.33,0.53,0.00,0.16,0.00,0.07,0.00,0.00,0.01,1.06,0.61,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
3,0,0.865,0.98,1,0.52,0.43,1.46,0.56,0.00,0.55,0.50,0.00,0.00,0.00,0.18,0.60,0.05,0.33,1.36,0.79,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,0,1.065,0.98,1,0.58,0.00,1.77,0.57,0.00,0.77,0.15,0.00,0.00,0.00,0.82,1.57,0.00,0.72,1.30,2.32,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
5,0,1.198,0.98,1,0.58,0.78,1.60,0.25,0.00,1.24,0.40,0.00,0.00,0.00,0.19,0.18,0.29,0.43,0.39,0.14,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,1.298,0.98,1,0.33,0.81,1.41,0.63,0.00,1.62,0.19,0.00,0.10,0.00,0.00,0.00,0.00,0.64,0.17,0.15,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0,1.398,0.98,1,0.44,0.81,1.52,0.45,0.00,1.17,0.35,0.00,0.03,0.00,0.00,0.35,0.17,0.69,0.64,0.21,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0,1.498,0.98,1,0.61,0.63,1.63,0.00,0.00,0.32,0.13,0.00,0.12,0.07,0.00,0.50,0.24,0.39,0.66,0.42,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,0,1.564,0.98,1,0.68,0.35,1.90,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.78,0.17,0.61,0.40,1.15,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10,0,1.664,0.98,1,0.01,0.01,0.64,0.00,0.11,0.85,0.00,0.15,0.04,0.02,0.37,1.63,0.37,0.58,0.15,2.13,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
11,0,1.731,0.98,1,0.10,0.20,0.73,0.45,0.23,1.54,0.08,0.37,0.03,0.11,0.75,2.17,0.01,0.65,0.01,2.28,0.60,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
12,0,1.831,0.98,1,0.00,0.00,0.77,0.99,0.41,1.94,0.33,0.10,0.33,0.38,0.59,1.33,0.31,0.84,0.40,1.85,0.52,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
13,0,1.898,0.98,1,0.03,0.01,1.00,0.78,0.53,1.75,0.27,0.00,0.45,0.39,0.07,0.94,0.24,0.85,0.17,1.51,0.24,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
14,0,1.965,0.98,1,0.00,0.00,0.96,0.42,0.75,1.65,0.39,0.33,0.65,0.51,0.01,0.44,0.31,0.93,0.36,1.34,0.28,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
15,0,2.065,0.98,1,0.31,0.10,1.21,1.02,0.85,1.37,0.45,0.32,0.62,0.73,0.01,0.59,0.25,0.67,0.46,0.69,0.00,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
16,0,2.165,0.98,1,0.62,0.37,1.33,0.82,0.90,1.47,0.41,0.61,0.54,0.95,0.08,0.56,0.24,0.71,0.46,0.60,0.15,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
17,0,2.264,0.98,1,0.36,0.32,1.21,0.84,0.72,1.22,0.34,0.39,0.55,0.74,0.00,0.60,0.43,0.64,0.24,0.57,0.00,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
18,0,2.331,0.98,1,0.15,0.06,1.23,0.80,0.73,1.28,0.44,0.30,0.53,0.60,0.15,0.55,0.42,0.63,0.39,0.86,0.00,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
19,0,2.398,0.98,1,0.37,0.19,1.27,1.06,0.75,1.23,0.40,0.24,0.34,0.77,0.01,0.69,0.42,0.65,0.25,0.64,0.38,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
20,0,2.498,0.98,1,0.25,0.82,1.35,0.47,0.78,1.09,0.50,0.34,0.21,1.02,0.26,0.19,0.79,0.45,0.18,0.00,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,0,2.564,0.98,1,0.76,0.80,1.31,0.41,0.92,1.46,0.43,0.56,0.25,0.80,0.25,0.01,0.66,0.39,0.03,0.00,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,0,2.664,0.98,1,0.85,0.96,1.29,0.25,0.78,1.17,0.38,0.36,0.24,0.85,0.21,0.00,0.81,0.31,0.28,0.00,0.04,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,0,2.766,0.98,1,0.94,0.93,1.28,0.28,0.71,1.16,0.29,0.45,0.43,1.00,0.33,0.28,0.42,0.29,0.29,0.01,0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
