frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.032,0.98,1,0.43,0.44,1.77,0.35,0.58,0.00,0.49,0.45,0.00,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.699,0.98,1,0.00,0.17,1.84,0.07,0.27,0.27,0.55,0.10,0.00,0.26,0.00,0.00,0.01,0.33,1.35,0.67,1.36,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,0,0.798,0.98,1,0.00,0.41,1.90,0.28,0.47,0.83,0.49,0.08,0.01,0.18,0.14,0.50,0.19,0.75,0.92,0.57,0.72,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.866,0.98,1,0.00,0.14,1.69,0.00,0.37,0.85,0.41,0.26,0.12,0.27,0.09,0.51,0.21,0.69,0.94,0.25,0.84,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
5,0,0.931,0.98,1,0.26,0.45,1.96,0.02,0.39,1.19,0.55,0.15,0.14,0.24,0.00,0.03,0.17,0.34,0.84,0.41,1.05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.999,0.98,1,0.47,0.56,1.69,0.03,0.31,0.99,0.70,0.00,0.04,0.18,0.01,0.25,0.34,0.29,1.01,0.21,0.54,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,1.100,0.98,1,0.24,0.09,1.69,0.00,0.36,1.14,0.63,0.31,0.06,0.07,0.13,0.34,0.33,0.41,0.71,0.19,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1.200,0.98,1,0.43,0.18,2.09,0.04,0.11,0.43,0.43,0.28,0.01,0.39,0.21,0.76,0.27,0.36,0.77,0.27,1.79,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0,1.264,0.98,1,0.53,0.28,1.87,1.14,0.00,0.00,0.27,0.24,0.01,0.44,0.00,0.37,0.34,0.00,0.67,0.03,2.46,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1.332,0.98,1,0.50,0.24,0.15,0.56,0.02,0.66,0.02,0.17,0.13,0.45,0.02,0.50,0.01,0.00,0.33,0.29,1.51,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
