frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.031,0.98,1,0.43,0.44,0.18,0.35,0.04,0.00,0.49,0.00,0.00,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.530,0.98,1,0.18,0.44,0.25,0.55,0.00,0.00,0.61,0.00,0.00,0.00,0.54,0.00,0.17,0.00,0.73,0.43,1.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.630,0.98,1,0.55,0.45,0.83,0.51,0.03,0.00,0.51,0.00,0.00,0.00,0.41,0.55,0.24,0.39,0.86,0.65,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0,0.730,0.98,1,0.56,0.06,1.04,0.78,0.05,0.00,0.64,0.10,0.00,0.00,0.39,0.56,0.17,0.37,0.65,0.95,0.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0,0.797,0.98,1,0.51,0.31,1.10,0.64,0.16,0.03,0.57,0.00,0.00,0.00,0.21,0.39,0.32,0.48,0.36,0.45,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0,0.931,0.98,1,0.74,0.20,1.15,0.45,0.06,0.01,0.51,0.00,0.00,0.00,0.39,0.43,0.25,0.53,0.54,0.78,0.58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0,0.996,0.98,1,0.62,0.38,1.23,0.42,0.18,0.05,0.56,0.11,0.00,0.00,0.34,0.60,0.40,0.60,0.63,0.75,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0,1.063,0.98,1,0.63,0.42,1.20,0.08,0.36,0.11,0.68,0.09,0.00,0.00,0.27,0.41,0.45,0.64,0.69,0.91,0.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1.130,0.98,1,0.53,0.31,1.81,1.04,0.13,0.00,0.46,0.00,0.00,0.00,0.22,0.32,0.43,0.68,0.45,0.70,1.30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,1.196,0.98,1,0.32,0.01,1.56,0.54,0.01,0.18,0.03,0.00,0.00,0.51,0.17,0.06,0.66,0.22,0.01,0.13,1.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0,1.263,0.98,1,0.48,0.31,2.19,0.61,0.01,0.06,0.04,0.03,0.00,0.31,0.01,0.01,0.44,0.29,0.19,0.03,1.20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0,1.330,0.98,1,0.34,0.16,2.38,0.15,0.38,1.15,0.32,0.24,0.08,0.43,0.12,0.25,0.40,0.27,0.04,0.26,0.68,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,0,1.397,0.98,1,0.44,0.31,2.25,0.10,0.28,1.47,0.20,0.48,0.15,0.40,0.21,0.06,0.19,0.29,0.24,0.45,0.35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0,1.463,0.98,1,0.32,0.05,2.29,0.07,0.39,1.71,0.09,0.49,0.20,0.12,0.33,0.00,0.21,0.28,0.10,0.24,0.00,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
