frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.031,0.98,1,0.43,0.44,1.35,0.35,0.09,0.74,0.49,0.62,0.20,0.10,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.596,0.98,1,0.34,0.14,1.35,0.00,0.10,0.82,0.75,0.28,0.00,0.04,0.00,0.00,0.00,0.00,0.99,0.10,0.80,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,0,0.664,0.98,1,0.45,0.53,1.25,0.15,0.09,0.88,0.59,0.56,0.00,0.25,0.03,0.19,0.11,0.47,0.95,0.36,0.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0,0.732,0.98,1,0.66,0.57,1.40,0.36,0.00,0.99,0.69,0.36,0.00,0.10,0.00,0.21,0.17,0.36,1.04,0.47,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0,0.798,0.98,1,0.37,0.12,1.34,0.24,0.03,0.76,0.70,0.55,0.00,0.10,0.19,0.03,0.14,0.35,0.51,0.34,0.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0,0.872,0.98,1,0.33,0.53,1.40,0.18,0.00,0.44,0.71,0.55,0.00,0.16,0.33,0.00,0.69,0.31,0.48,0.39,0.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0,0.997,0.98,1,0.72,0.65,1.54,0.27,0.00,0.28,0.68,0.54,0.00,0.30,0.12,0.26,0.37,0.30,0.69,0.42,0.30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0,1.064,0.98,1,0.49,0.19,1.31,0.53,0.00,0.58,0.62,0.61,0.00,0.00,0.72,0.13,0.73,0.48,0.64,0.93,0.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1.129,0.98,1,0.58,0.19,1.57,0.08,0.00,0.49,0.72,0.68,0.00,0.00,0.51,0.36,0.63,0.13,0.84,1.43,0.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,1.197,0.98,1,0.00,0.00,0.00,0.72,0.00,0.69,0.49,0.08,0.00,0.00,1.16,0.79,0.52,0.93,0.00,1.17,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
