frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.030,0.98,1,0.43,0.44,0.74,0.35,0.00,0.65,0.49,0.00,0.00,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.563,0.82,1,0.00,0.00,1.21,0.10,0.14,1.95,1.14,0.00,0.25,0.00,0.00,2.28,0.00,2.63,0.10,0.00,0.24,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.665,0.98,1,0.00,0.03,0.05,0.35,0.00,1.20,0.00,0.00,0.00,0.00,0.00,3.32,0.00,2.18,0.74,0.80,0.31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0,0.763,0.98,1,1.05,0.79,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.47,2.28,0.00,1.35,0.72,0.22,0.96,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0,0.849,0.98,1,1.17,0.93,0.00,0.42,0.00,0.51,0.00,0.00,0.00,0.00,0.06,0.36,0.00,0.40,0.17,0.31,0.73,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.929,0.98,1,0.94,0.76,0.13,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.42,0.41,0.55,0.88,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,1.031,0.98,1,0.63,0.79,0.09,0.59,0.00,0.32,0.02,0.00,0.00,0.00,0.00,0.55,0.17,0.65,0.20,0.37,0.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1.096,0.98,1,0.45,0.32,0.30,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.17,0.60,0.25,0.36,0.71,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1.164,0.98,1,0.46,0.52,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.13,0.89,0.29,0.06,0.70,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,1.232,0.98,1,0.41,0.42,0.15,0.51,0.25,0.85,0.28,0.02,0.31,0.11,0.77,0.88,0.03,1.03,0.71,0.50,0.00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
