frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.028,0.98,1,0.43,0.44,0.00,0.35,0.00,0.00,0.49,0.00,0.00,0.70,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.427,0.98,1,0.00,0.17,0.00,1.08,0.00,0.00,0.48,0.00,0.00,0.00,0.01,0.00,0.29,0.68,0.86,1.17,1.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,0,0.594,0.98,1,0.05,0.36,0.00,0.78,0.00,0.00,0.65,0.00,0.05,0.00,0.01,0.22,0.33,0.56,0.87,0.25,0.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.661,0.98,1,0.08,0.63,0.00,0.72,0.00,0.18,0.65,0.00,0.05,0.00,0.00,0.07,0.12,0.70,0.62,0.00,0.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0,0.727,0.98,1,0.41,0.94,0.00,0.49,0.00,0.15,0.35,0.00,0.04,0.66,0.11,0.48,0.09,0.55,0.66,0.56,0.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.896,0.98,1,0.25,1.23,0.00,0.68,0.00,0.80,0.15,0.00,0.00,0.37,0.00,0.30,0.00,0.99,1.10,1.07,0.64,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,0,1.127,0.98,1,0.00,0.85,0.00,1.56,0.00,0.50,0.00,0.00,0.01,0.00,0.00,0.33,0.00,1.26,0.93,0.74,0.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0,1.195,0.98,1,0.00,0.18,0.00,1.33,0.00,0.71,0.00,0.00,0.05,0.23,0.00,0.34,0.00,1.41,0.57,0.71,0.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0,1.260,0.98,1,0.00,0.14,0.00,1.40,0.00,0.93,0.07,0.00,0.11,0.00,0.00,0.31,0.00,1.31,0.84,1.10,0.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0,1.327,0.98,1,0.00,0.00,0.02,0.85,0.11,0.85,0.20,0.28,0.09,0.08,0.00,0.02,0.22,0.57,0.88,1.03,0.00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
