frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.032,0.98,1,0.43,0.44,2.08,0.35,0.00,0.00,0.49,0.18,0.46,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.397,0.98,1,0.49,0.00,2.05,0.80,0.00,0.00,0.83,0.00,0.14,0.00,0.21,0.00,0.10,0.00,0.87,0.39,0.99,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.564,0.98,1,0.26,0.00,2.04,0.70,0.00,0.00,0.68,0.00,0.14,0.00,0.00,0.46,0.15,0.34,1.11,0.16,0.26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,0,0.630,0.98,1,0.70,0.54,2.09,0.75,0.13,0.00,0.82,0.00,0.19,0.00,0.30,0.30,0.77,0.11,1.20,0.29,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0,0.717,0.98,1,0.67,0.29,2.20,0.22,0.00,0.00,0.71,0.00,0.18,0.00,0.22,0.31,0.66,0.28,0.57,0.37,0.51,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.832,0.98,1,0.52,0.36,1.40,0.88,0.00,0.00,0.50,0.11,0.05,0.00,0.62,0.60,0.71,1.12,0.59,0.58,0.87,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.998,0.98,1,0.69,0.26,1.64,1.26,0.00,0.00,0.45,0.00,0.15,0.00,0.46,0.47,0.46,0.56,0.97,0.73,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0,1.064,0.98,1,0.54,0.39,1.99,0.93,0.00,0.00,0.57,0.00,0.01,0.00,0.33,0.56,0.77,0.67,1.00,0.72,0.44,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0,1.164,0.98,1,0.37,0.23,1.71,1.20,0.00,0.00,0.55,0.00,0.08,0.00,0.03,0.24,0.54,0.65,0.73,0.68,0.62,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,1.265,0.98,1,0.01,0.60,0.01,0.29,0.04,0.00,0.09,0.02,0.19,0.55,0.21,0.00,0.51,0.55,0.25,0.23,0.49,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
