frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.029,0.98,1,0.43,0.44,0.84,0.35,0.03,0.00,0.49,0.00,0.00,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.662,0.98,1,1.00,1.10,0.66,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.05,0.24,0.27,0.20,0.59,0.54,0.00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.729,0.98,1,0.78,0.63,0.64,0.27,0.09,0.00,0.30,0.00,0.00,0.00,0.62,0.81,0.54,0.49,0.60,0.39,0.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0,0.795,0.98,1,0.86,0.68,0.53,0.49,0.00,0.00,0.38,0.00,0.00,0.00,0.51,0.75,0.78,0.58,0.54,0.25,0.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0,0.862,0.98,1,0.57,0.42,0.61,0.30,0.00,0.00,0.52,0.00,0.00,0.00,0.17,0.52,0.51,0.61,0.48,0.46,0.62,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0,0.929,0.98,1,0.39,0.42,0.56,0.47,0.00,0.00,0.48,0.00,0.00,0.00,0.23,0.16,0.11,0.60,0.79,0.60,0.69,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,1.000,0.98,1,0.49,0.65,0.61,0.69,0.00,0.00,0.47,0.00,0.00,0.00,0.21,0.37,0.45,0.68,0.49,0.53,0.49,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1.095,0.98,1,0.33,0.44,0.72,0.65,0.00,0.00,0.49,0.00,0.00,0.00,0.53,0.43,0.40,0.60,0.67,0.60,0.70,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0,1.162,0.98,1,0.34,0.58,0.55,0.54,0.00,0.00,0.50,0.00,0.00,0.00,0.42,0.17,0.52,0.54,0.69,0.30,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,1.228,0.98,1,0.15,0.00,0.06,0.14,0.00,0.02,0.03,0.14,0.00,0.16,0.45,0.29,0.27,0.00,0.21,0.32,0.47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
