frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.030,0.98,1,0.43,0.44,1.17,0.35,0.00,0.00,0.49,0.00,0.11,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.596,0.98,1,0.46,0.38,0.83,0.72,0.00,0.00,0.39,0.11,0.13,0.00,0.28,0.22,0.07,0.34,0.96,0.49,0.00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,0,0.697,0.98,1,0.65,0.60,0.81,0.59,0.00,0.00,0.54,0.00,0.00,0.00,0.28,0.78,0.37,0.50,0.93,0.65,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0,0.764,0.98,1,0.52,0.12,0.89,0.67,0.00,0.00,0.34,0.00,0.12,0.00,0.05,0.60,0.48,0.49,1.05,0.30,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0,0.831,0.98,1,0.24,0.16,0.85,0.06,0.00,0.00,0.56,0.13,0.10,0.00,0.15,0.36,0.35,0.15,0.62,0.60,0.61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.902,0.98,1,0.43,0.35,0.94,0.75,0.00,0.00,0.37,0.04,0.11,0.00,0.38,0.44,0.45,0.34,0.47,0.06,0.30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0,1.030,0.98,1,0.08,0.11,0.81,0.48,0.00,0.00,0.48,0.04,0.04,0.00,0.25,0.58,0.53,0.35,0.58,0.02,0.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0,1.097,0.98,1,0.20,0.19,0.89,0.36,0.00,0.00,0.48,0.00,0.01,0.00,0.00,0.74,0.60,0.37,0.41,0.00,0.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0,1.163,0.98,1,0.44,0.31,0.85,0.81,0.00,0.00,0.51,0.10,0.00,0.00,0.00,0.48,0.26,0.38,0.54,0.00,0.54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,1.229,0.98,1,0.11,0.26,0.00,0.11,0.01,0.13,0.00,0.30,0.06,0.03,0.41,0.00,0.07,0.17,0.06,0.26,0.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0,1.296,0.98,1,0.47,0.43,0.01,0.58,0.09,0.01,0.03,0.00,0.00,0.11,0.39,0.43,0.07,0.27,0.16,0.16,0.48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0,1.363,0.98,1,0.53,0.56,0.01,0.84,0.01,0.06,0.03,0.00,0.00,0.04,0.14,0.05,0.16,0.22,0.08,0.00,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,0,1.429,0.98,1,0.58,0.61,0.02,0.25,0.01,0.00,0.12,0.10,0.05,0.00,0.33,0.08,0.14,0.19,0.11,0.38,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0,1.499,0.98,1,0.50,0.34,0.02,0.36,0.15,0.50,0.01,0.34,0.04,0.00,0.54,0.03,0.46,0.26,0.07,0.16,0.24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,0,1.564,0.98,1,0.40,0.07,0.00,0.63,0.09,0.38,0.16,0.18,0.00,0.06,0.71,0.37,0.19,0.34,0.10,0.60,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,0,1.630,0.98,1,0.58,0.21,0.22,0.13,0.09,0.34,0.13,0.10,0.00,0.02,0.60,0.27,0.28,0.43,0.00,0.24,0.20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,0,1.697,0.98,1,0.41,0.40,0.16,0.03,0.03,0.20,0.21,0.13,0.04,0.00,0.61,0.22,0.06,0.40,0.00,0.36,0.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,0,1.763,0.98,1,0.44,0.27,0.07,0.44,0.11,0.41,0.24,0.08,0.11,0.02,0.50,0.17,0.15,0.42,0.00,0.47,0.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,0,1.830,0.98,1,0.13,0.06,0.16,0.10,0.15,0.52,0.18,0.19,0.15,0.00,0.71,0.35,0.02,0.34,0.23,0.54,0.43,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,0,1.897,0.98,1,0.42,0.01,0.27,0.42,0.00,0.00,0.05,0.15,0.00,0.29,0.50,0.16,0.43,0.10,0.29,0.45,3.14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,0,1.962,0.98,1,0.26,0.02,0.18,0.49,0.00,0.00,0.22,0.02,0.00,0.24,0.26,0.10,0.36,0.00,0.41,0.23,3.35,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,0,2.029,0.98,1,0.67,0.03,0.65,0.64,0.01,0.03,0.02,0.18,0.00,0.39,0.35,0.38,0.60,0.11,0.18,0.17,3.08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
