frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.031,0.98,1,0.43,0.44,1.44,0.35,0.67,0.00,0.49,0.40,0.94,0.47,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.395,0.98,1,0.21,1.30,0.66,0.28,0.47,0.00,0.73,0.02,0.68,0.57,0.09,0.00,0.34,0.23,1.23,0.21,0.13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.529,0.98,1,0.52,0.69,1.10,0.56,0.70,0.00,0.55,0.06,1.06,0.79,0.14,0.56,0.43,0.56,0.84,0.52,0.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0,0.595,0.98,1,0.42,0.51,0.99,0.63,0.62,0.05,0.69,0.00,1.00,0.84,0.42,0.45,0.23,0.86,0.63,0.57,0.18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0,0.662,0.98,1,0.18,0.32,1.24,0.37,0.45,0.00,0.44,0.08,1.05,0.90,0.35,0.47,0.31,0.64,0.56,0.47,0.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0,0.730,0.98,1,0.31,0.65,0.97,0.67,0.47,0.00,0.47,0.23,0.97,0.55,0.23,0.61,0.09,0.73,0.71,0.52,0.48,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0,0.796,0.98,1,0.62,0.97,0.79,0.66,0.44,0.00,0.51,0.18,0.89,0.63,0.05,0.77,0.04,0.64,0.64,0.38,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0,0.863,0.98,1,0.76,1.13,1.22,0.87,0.26,0.00,0.41,0.55,0.86,0.45,0.32,0.78,0.00,0.37,0.55,0.17,0.45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0,0.928,0.98,1,0.49,1.11,1.17,1.06,0.22,0.00,0.53,0.36,0.63,0.50,0.40,0.37,0.28,0.47,0.59,0.47,0.81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,0.995,0.98,1,0.39,0.95,0.17,0.46,0.00,0.34,0.00,0.11,0.09,0.00,0.02,0.34,0.03,0.23,0.10,0.24,0.51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0,1.062,0.98,1,0.56,0.77,0.31,0.00,0.03,0.31,0.02,0.29,0.05,0.02,0.01,0.25,0.04,0.20,0.15,0.42,0.40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0,1.129,0.98,1,0.68,0.86,0.32,0.40,0.00,0.26,0.04,0.34,0.10,0.43,0.14,0.37,0.01,0.16,0.01,0.31,0.33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
