frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.032,0.98,1,0.43,0.44,0.40,0.35,0.00,0.00,0.49,0.00,0.00,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.397,0.98,1,1.16,0.82,0.87,0.19,0.00,0.00,0.62,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.55,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.464,0.98,1,0.75,0.43,1.03,0.00,0.10,0.00,0.48,0.23,0.10,0.00,0.15,0.62,0.00,0.30,0.67,0.25,0.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.532,0.98,1,0.83,0.57,0.95,0.23,0.10,0.00,0.74,0.16,0.10,0.00,0.00,0.43,0.39,0.02,1.08,0.33,0.85,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.599,0.98,1,0.46,0.48,1.17,0.13,0.10,0.00,0.51,0.00,0.08,0.00,0.03,0.21,0.47,0.28,0.83,0.63,0.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.665,0.98,1,0.32,0.46,1.10,0.22,0.00,0.00,0.33,0.00,0.06,0.21,0.25,0.05,0.46,0.19,1.02,0.15,0.97,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.731,0.98,1,0.55,0.10,1.02,0.43,0.00,0.00,0.59,0.00,0.00,0.04,0.00,0.35,0.44,0.26,1.04,0.33,0.65,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.832,0.98,1,0.56,0.34,1.14,0.56,0.00,0.00,0.49,0.00,0.09,0.01,0.06,0.22,0.31,0.16,1.06,0.92,0.77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.897,0.98,1,0.67,0.91,0.97,0.79,0.00,0.00,0.35,0.16,0.02,0.00,0.18,0.13,0.51,0.29,1.13,0.97,0.10,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,0.964,0.98,1,0.30,0.12,0.27,0.50,0.00,0.02,0.00,0.37,0.16,0.27,0.38,0.24,0.79,0.31,0.69,0.60,0.00,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
