frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.031,0.98,1,0.43,0.44,0.15,0.35,0.00,0.00,0.49,0.00,0.00,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.498,0.98,1,0.59,0.65,0.18,0.45,0.00,0.00,0.41,0.00,0.00,0.00,0.05,0.07,0.71,0.00,0.87,0.31,0.38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,0,0.597,0.98,1,0.55,0.59,0.17,0.56,0.00,0.00,0.52,0.02,0.00,0.00,0.32,0.58,0.43,0.39,1.03,0.44,0.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.698,0.98,1,0.44,0.21,0.26,0.67,0.00,0.00,0.52,0.04,0.00,0.00,0.53,0.60,0.40,0.27,0.96,0.75,0.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0,0.766,0.98,1,0.40,0.39,0.35,0.66,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.46,0.26,0.25,0.59,0.60,0.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.899,0.98,1,0.33,0.28,0.34,0.44,0.00,0.00,0.56,0.00,0.00,0.00,0.22,0.72,0.17,0.34,0.46,0.58,0.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.965,0.98,1,0.29,0.30,0.33,0.48,0.00,0.00,0.45,0.00,0.00,0.00,0.21,0.71,0.44,0.47,0.59,0.53,0.61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1.030,0.98,1,0.27,0.51,0.36,0.52,0.00,0.00,0.52,0.00,0.00,0.00,0.18,0.69,0.25,0.51,0.67,0.33,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0,1.097,0.98,1,0.33,0.48,0.28,0.44,0.00,0.00,0.55,0.00,0.00,0.00,0.26,0.67,0.24,0.46,0.51,0.75,0.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,1.164,0.98,1,0.00,0.05,0.00,0.11,0.08,0.19,0.14,0.04,0.08,0.20,0.30,0.19,0.23,0.11,0.05,0.36,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
