frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.032,0.98,1,0.43,0.44,2.31,0.35,0.24,1.10,0.49,0.00,0.60,0.85,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.698,0.98,1,0.26,0.15,2.31,0.43,0.24,1.06,0.26,0.00,0.60,0.65,0.04,0.00,0.00,0.24,0.76,0.76,1.09,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.798,0.98,1,0.32,0.35,2.46,0.33,0.00,0.58,0.45,0.00,0.58,1.02,0.22,0.90,0.35,0.18,0.77,0.31,2.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
4,0,0.899,0.98,1,0.02,0.67,2.79,0.75,0.00,0.13,0.41,0.00,0.23,1.18,0.13,1.08,0.05,0.76,0.81,0.10,2.10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,0,1.004,0.98,1,0.10,0.00,3.55,0.47,0.29,2.03,0.47,0.00,0.22,1.17,0.21,0.45,0.18,0.79,0.77,0.47,0.86,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0,1.132,0.98,1,0.63,0.00,3.65,0.75,0.29,1.56,0.24,0.00,0.30,0.98,0.31,0.32,0.45,0.84,0.70,0.42,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0,1.231,0.98,1,0.77,0.56,3.51,0.44,0.28,1.64,0.45,0.00,0.32,0.80,0.28,0.63,0.31,0.70,0.50,0.40,0.19,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0,1.331,0.98,1,0.75,0.39,3.27,0.48,0.28,1.31,0.35,0.00,0.32,0.95,0.01,0.88,0.17,0.63,0.71,0.09,0.20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0,1.432,0.98,1,0.76,0.68,3.04,0.56,0.29,1.15,0.50,0.00,0.38,1.03,0.14,0.40,0.00,0.54,0.62,0.18,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,1.531,0.98,1,0.56,0.43,0.52,0.37,0.43,0.32,0.26,0.03,0.10,0.01,0.00,0.01,0.00,0.48,0.00,0.19,0.00,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
