frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.030,0.98,1,0.43,0.44,1.63,0.35,0.00,0.00,0.49,0.00,0.00,0.28,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.529,0.98,1,0.77,0.75,1.44,0.24,0.00,0.00,0.40,0.00,0.00,0.32,0.32,0.00,0.20,0.00,0.25,0.46,0.72,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.598,0.98,1,0.53,0.48,1.61,0.49,0.00,0.00,0.39,0.00,0.00,0.64,0.31,0.60,0.29,0.31,0.68,0.20,0.55,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.696,0.98,1,0.49,0.47,1.47,0.23,0.00,0.00,0.50,0.00,0.00,0.32,0.42,0.54,0.07,0.21,0.54,0.00,0.60,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.762,0.98,1,0.33,0.49,1.55,0.17,0.00,0.00,0.56,0.00,0.00,0.35,0.11,0.38,0.09,0.34,0.46,0.33,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.839,0.98,1,0.39,0.59,1.69,0.21,0.00,0.00,0.65,0.00,0.00,0.33,0.12,0.31,0.25,0.42,0.44,0.39,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.930,0.98,1,0.46,0.77,1.52,0.49,0.00,0.00,0.64,0.00,0.00,0.50,0.44,0.39,0.28,0.49,0.48,0.44,0.64,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.996,0.98,1,0.57,0.76,1.48,0.62,0.00,0.00,0.40,0.00,0.00,0.72,0.14,0.29,0.13,0.39,0.54,0.34,0.71,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1.062,0.98,1,0.52,0.68,1.45,0.51,0.00,0.00,0.38,0.00,0.00,0.49,0.25,0.34,0.28,0.40,0.54,0.32,0.82,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,1.129,0.98,1,0.02,0.00,0.02,0.00,0.00,0.00,0.06,0.23,0.12,0.38,0.14,0.02,0.20,0.02,0.17,0.32,2.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1.196,0.98,1,0.23,0.00,0.21,0.09,0.00,0.00,0.09,0.10,0.00,0.39,0.14,0.22,0.31,0.08,0.14,0.16,1.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0,1.263,0.98,1,0.02,0.03,0.05,0.02,0.04,0.09,0.08,0.09,0.03,0.22,0.36,0.09,0.56,0.14,0.05,0.21,2.19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0,1.329,0.98,1,0.00,0.49,0.05,0.03,0.19,1.04,0.10,0.01,0.14,0.16,0.02,0.12,0.17,0.38,0.02,0.26,0.68,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0,1.396,0.98,1,0.00,0.55,0.00,0.57,0.27,0.57,0.19,0.00,0.10,0.00,0.18,0.35,0.08,0.48,0.03,0.19,0.24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,1.463,0.98,1,0.20,0.50,0.00,0.94,0.29,0.69,0.27,0.02,0.09,0.03,0.05,0.30,0.03,0.45,0.17,0.04,0.08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,1.529,0.98,1,0.13,0.51,0.04,1.35,0.27,0.86,0.06,0.11,0.10,0.00,0.15,0.36,0.29,0.57,0.19,0.31,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,1.596,0.98,1,0.00,0.84,0.16,0.90,0.31,0.79,0.14,0.28,0.09,0.00,0.20,0.26,0.20,0.64,0.21,0.26,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,1.662,0.98,1,0.13,0.65,0.03,1.15,0.35,0.74,0.24,0.08,0.11,0.03,0.22,0.18,0.23,0.54,0.22,0.19,0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,1.729,0.98,1,0.14,0.38,0.21,0.84,0.31,0.53,0.33,0.16,0.00,0.00,0.22,0.38,0.37,0.67,0.10,0.13,0.21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,1.796,0.98,1,0.12,0.16,0.55,0.76,0.34,0.87,0.19,0.07,0.07,0.22,0.07,0.22,0.22,0.55,0.18,0.33,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,1.862,0.98,1,0.00,0.00,0.61,0.07,0.25,0.96,0.26,0.17,0.04,0.21,0.28,0.18,0.05,0.19,0.47,0.44,1.15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,0,1.929,0.98,1,0.01,0.03,0.36,0.37,0.26,1.31,0.08,0.00,0.02,0.00,0.17,0.23,0.03,0.20,0.27,0.61,1.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,0,1.995,0.93,1,0.00,0.00,0.30,0.03,0.21,0.74,0.00,0.02,0.04,0.18,0.06,0.25,0.00,0.30,0.01,0.44,2.12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,0,2.096,0.98,1,0.00,0.00,0.37,0.62,0.26,0.36,0.64,0.25,0.00,0.78,0.00,0.00,0.26,0.00,0.00,0.00,2.52,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
25,0,2.165,0.98,1,0.34,0.03,0.22,0.46,0.20,0.78,0.86,0.05,0.00,0.83,0.00,0.00,0.56,0.00,0.00,0.00,2.69,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,0,2.230,0.98,1,0.31,0.07,0.00,0.48,0.40,0.78,0.69,0.00,0.00,0.93,0.04,0.00,0.74,0.00,0.00,0.00,2.67,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27,0,2.296,0.98,1,0.41,0.00,0.20,0.35,0.47,1.04,0.85,0.00,0.00,0.83,0.15,0.00,0.80,0.01,0.00,0.00,2.34,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
28,0,2.363,0.98,1,0.76,0.28,0.00,0.42,0.42,0.93,0.75,0.07,0.00,0.79,0.33,0.00,1.16,0.01,0.03,0.00,2.24,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29,0,2.429,0.98,1,0.46,0.03,0.00,0.42,0.43,1.40,0.69,0.32,0.02,0.75,0.31,0.04,1.03,0.00,0.00,0.67,2.12,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,0,2.529,0.98,1,0.00,0.00,0.00,0.20,0.11,0.08,1.18,0.09,0.00,1.20,0.00,0.00,1.30,0.04,0.61,0.30,1.23,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31,0,2.630,0.98,1,0.00,0.00,0.00,1.04,0.04,0.06,0.99,0.00,0.00,0.60,0.00,0.27,0.20,0.41,0.00,0.06,1.66,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
32,0,2.732,0.98,1,0.34,0.00,0.00,1.13,0.36,0.92,0.75,0.18,0.00,0.45,0.11,0.16,0.66,0.21,0.00,0.61,1.58,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
33,0,2.796,0.98,1,0.57,0.17,0.00,0.65,0.35,0.77,0.48,0.39,0.00,0.00,0.38,0.02,0.88,0.16,0.00,0.91,1.30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
34,0,2.863,0.98,1,0.64,0.13,0.00,1.10,0.16,0.80,0.18,0.76,0.00,0.00,0.68,0.20,1.17,0.33,0.01,1.20,1.51,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
35,0,2.932,0.98,1,0.95,0.72,0.00,0.67,0.27,0.56,0.24,0.61,0.04,0.00,0.53,0.30,1.29,0.23,0.26,1.01,1.37,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
