frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.032,0.98,1,0.43,0.44,1.17,0.35,0.00,0.00,0.49,0.00,0.00,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.498,0.98,1,0.27,1.01,1.69,0.26,0.00,0.00,0.97,0.00,0.00,0.04,0.00,0.00,0.00,0.29,0.92,0.46,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.631,0.98,1,0.47,0.75,1.41,0.99,0.00,0.00,0.53,0.00,0.00,0.00,0.18,0.66,0.00,0.71,0.89,0.35,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.698,0.98,1,0.55,0.58,1.45,1.04,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.59,0.00,0.62,1.04,0.38,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.765,0.98,1,0.47,0.49,1.50,0.38,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.30,0.01,0.40,0.81,0.49,0.74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.836,0.98,1,0.46,0.41,1.26,0.46,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.42,0.02,0.54,0.72,0.41,0.34,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.968,0.98,1,0.41,0.37,1.37,0.43,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.34,0.08,0.67,0.69,0.36,0.16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1.032,0.98,1,0.36,0.32,1.43,0.50,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.51,0.14,0.84,0.07,0.45,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1.097,0.98,1,0.26,0.30,1.27,0.25,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.38,0.38,0.79,0.48,0.52,0.19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,1.164,0.98,1,0.06,0.00,0.06,0.14,0.19,0.37,0.25,0.01,0.11,0.03,0.42,0.01,0.58,0.29,0.02,0.24,0.88,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,1.232,0.98,1,0.03,0.00,0.26,0.34,0.25,0.61,0.13,0.05,0.11,0.17,0.48,0.02,0.55,0.40,0.20,0.42,0.83,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,1.298,0.98,1,0.00,0.09,0.14,0.00,0.33,0.07,0.16,0.18,0.11,0.20,0.42,0.26,0.53,0.41,0.18,0.21,0.77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,1.366,0.98,1,0.04,0.11,0.03,0.41,0.42,0.67,0.07,0.20,0.07,0.02,0.53,0.20,0.72,0.41,0.21,0.47,0.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,1.431,0.98,1,0.00,0.01,0.10,0.00,0.29,0.26,0.19,0.18,0.00,0.02,0.43,0.33,0.58,0.55,0.10,0.37,0.70,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
