frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.030,0.93,1,0.43,0.44,0.00,0.35,0.75,0.00,0.49,0.00,0.91,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.564,0.98,1,0.79,0.23,0.84,0.00,0.00,0.00,0.85,0.00,0.00,0.00,0.39,0.10,0.15,0.00,0.46,0.06,0.80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0,0.631,0.98,1,0.80,0.00,1.15,0.00,0.00,0.00,0.09,0.03,0.00,0.00,0.43,1.53,0.00,0.00,0.20,0.67,0.85,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.698,0.98,1,0.99,0.00,1.47,0.00,0.00,0.00,0.13,0.01,0.07,0.00,0.28,1.35,0.00,0.00,0.27,0.80,1.26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.765,0.98,1,0.73,0.33,1.35,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.04,0.12,0.24,0.00,0.59,0.39,0.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.831,0.98,1,0.73,0.14,1.53,0.09,0.00,0.00,0.48,0.22,0.00,0.00,0.24,0.37,0.14,0.00,0.40,0.13,1.10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.897,0.98,1,0.49,0.23,1.51,0.00,0.00,0.00,0.49,0.07,0.00,0.00,0.07,0.66,0.19,0.08,0.62,0.48,0.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.998,0.98,1,0.62,0.00,1.39,0.02,0.00,0.00,0.75,0.18,0.00,0.00,0.00,0.75,0.10,0.00,0.73,0.51,0.82,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1.064,0.98,1,0.42,0.15,1.49,0.61,0.00,0.00,0.79,0.51,0.00,0.10,0.09,0.50,0.38,0.11,0.55,0.32,1.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,1.131,0.98,1,0.13,0.53,0.95,0.89,0.07,0.61,0.63,0.94,0.15,1.43,0.18,0.20,0.25,0.97,0.46,0.38,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,1.198,0.98,1,0.27,0.58,0.85,1.32,0.00,0.72,0.61,0.67,0.03,1.31,0.01,0.23,0.15,1.11,0.68,0.30,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,1.263,0.98,1,0.03,0.62,0.91,1.11,0.00,0.00,0.46,0.54,0.14,1.46,0.08,0.27,0.30,0.99,0.73,0.01,1.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
