frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.031,0.98,1,0.43,0.44,0.51,0.35,0.00,1.71,0.49,0.00,0.00,0.39,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.428,0.98,1,1.10,1.04,0.53,0.29,0.00,0.73,0.51,0.00,0.00,0.71,0.26,0.42,0.45,0.32,0.49,0.30,0.11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.495,0.98,1,0.73,0.84,0.58,0.45,0.00,0.98,0.45,0.00,0.00,0.64,0.19,0.48,0.53,0.48,0.69,0.40,0.08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.562,0.98,1,0.80,0.94,0.45,0.61,0.00,1.07,0.34,0.00,0.00,0.57,0.06,0.43,0.26,0.59,0.64,0.28,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0,0.628,0.98,1,0.65,0.62,0.52,0.24,0.00,1.15,0.37,0.00,0.00,0.69,0.26,0.49,0.25,0.59,0.54,0.56,0.56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0,0.695,0.98,1,0.64,0.61,0.63,0.10,0.00,0.94,0.34,0.00,0.00,0.54,0.17,0.59,0.36,0.58,0.43,0.52,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0,0.795,0.98,1,0.59,0.71,0.41,0.50,0.00,0.98,0.43,0.00,0.00,0.39,0.30,0.49,0.23,0.58,0.72,0.76,0.39,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0,0.861,0.98,1,0.58,0.81,0.58,0.53,0.00,1.08,0.41,0.00,0.00,0.54,0.26,0.66,0.36,0.59,0.62,0.45,0.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0,0.930,0.98,1,0.67,0.99,0.53,0.48,0.00,0.88,0.44,0.00,0.00,0.44,0.07,0.53,0.37,0.52,0.57,0.61,0.69,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,0.996,0.98,1,0.34,0.47,0.32,0.50,0.00,0.14,0.27,0.00,0.08,0.06,0.03,0.02,0.00,0.03,0.06,0.39,0.58,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0,1.063,0.98,1,0.06,0.02,0.19,0.29,0.01,0.04,0.19,0.16,0.11,0.14,0.10,0.04,0.12,0.08,0.11,0.08,0.61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0,1.130,0.98,1,0.22,0.22,0.25,0.37,0.01,0.02,0.29,0.12,0.03,0.21,0.00,0.07,0.13,0.01,0.29,0.25,0.48,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,0,1.196,0.98,1,0.13,0.21,0.28,0.25,0.05,0.00,0.27,0.04,0.02,0.11,0.00,0.10,0.22,0.03,0.15,0.22,0.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,1.263,0.98,1,0.02,0.31,0.32,0.28,0.08,0.17,0.12,0.24,0.09,0.00,0.22,0.00,0.14,0.08,0.03,0.19,0.44,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,0,1.329,0.98,1,0.01,0.02,0.19,0.52,0.05,0.12,0.14,0.09,0.08,0.19,0.04,0.18,0.22,0.17,0.08,0.21,0.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,0,1.396,0.98,1,0.00,0.00,0.29,0.01,0.00,0.00,0.00,0.09,0.17,0.21,0.19,0.12,0.01,0.00,0.22,0.10,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,0,1.463,0.98,1,0.04,0.00,0.16,0.45,0.00,0.00,0.02,0.00,0.01,0.26,0.17,0.12,0.31,0.00,0.07,0.00,2.80,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,0,1.529,0.98,1,0.06,0.01,0.22,0.20,0.21,0.03,0.30,0.03,0.05,0.25,0.23,0.25,0.09,0.02,0.03,0.16,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
