frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.028,0.98,1,0.43,0.44,1.54,0.35,0.00,0.00,0.49,0.00,0.18,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.358,0.98,1,0.77,0.53,1.81,0.56,0.00,0.00,0.83,0.00,0.10,0.32,0.35,0.05,0.00,0.00,0.50,0.12,1.84,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.426,0.98,1,0.62,0.50,1.63,0.22,0.00,0.00,0.45,0.00,0.20,0.49,0.26,0.66,0.14,0.33,0.68,0.29,0.96,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.493,0.98,1,0.73,0.55,1.77,0.29,0.00,0.00,0.48,0.00,0.06,0.44,0.52,0.75,0.00,0.39,0.76,0.44,0.83,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.560,0.98,1,0.65,0.69,1.62,0.47,0.00,0.00,0.53,0.00,0.10,0.53,0.36,0.50,0.23,0.40,0.67,0.43,0.79,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.626,0.98,1,0.74,0.95,1.61,0.38,0.00,0.00,0.66,0.00,0.15,0.50,0.22,0.42,0.42,0.35,0.81,0.55,0.72,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.694,0.98,1,0.65,0.47,1.98,0.36,0.00,0.00,0.77,0.00,0.13,0.72,0.42,0.45,0.21,0.49,0.67,0.49,0.64,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.760,0.98,1,0.65,0.61,1.77,0.39,0.00,0.00,0.62,0.00,0.21,0.46,0.43,0.51,0.12,0.40,0.73,0.54,0.53,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.826,0.98,1,0.37,0.49,1.72,0.47,0.00,0.00,0.71,0.00,0.15,0.74,0.33,0.34,0.10,0.44,0.72,0.62,0.82,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.892,0.98,1,0.06,0.15,0.00,0.19,0.02,0.41,0.29,0.25,0.05,0.18,0.00,0.12,0.35,0.09,0.26,0.67,0.19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0.966,0.98,1,0.03,0.39,0.36,0.21,0.09,0.56,0.21,0.10,0.11,0.25,0.18,0.25,0.37,0.20,0.18,0.30,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,1.028,0.98,1,0.15,0.00,0.43,0.27,0.02,0.56,0.14,0.10,0.13,0.30,0.21,0.04,0.36,0.13,0.09,0.04,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,1.094,0.98,1,0.23,0.09,0.32,0.17,0.11,0.55,0.13,0.21,0.05,0.17,0.00,0.15,0.49,0.21,0.02,0.45,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,1.158,0.98,1,0.09,0.09,0.07,0.24,0.04,0.02,0.05,0.30,0.16,0.21,0.02,0.34,0.33,0.12,0.00,0.35,0.26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,1.227,0.98,1,0.02,0.17,0.02,0.00,0.01,0.43,0.08,0.40,0.09,0.45,0.09,0.18,0.28,0.16,0.05,0.34,0.19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,1.294,0.98,1,0.00,0.05,0.08,0.33,0.05,0.34,0.00,0.36,0.07,0.14,0.32,0.07,0.24,0.08,0.14,0.20,0.30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,1.359,0.98,1,0.12,0.04,0.18,0.09,0.19,0.55,0.07,0.46,0.03,0.17,0.06,0.17,0.26,0.18,0.00,0.37,0.46,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,1.427,0.98,1,0.12,0.19,0.14,0.00,0.12,0.51,0.01,0.25,0.14,0.03,0.24,0.10,0.18,0.15,0.08,0.46,0.15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,1.494,0.98,1,0.29,0.14,0.38,0.47,0.00,0.42,0.21,0.29,0.17,0.26,0.01,0.05,0.41,0.18,0.03,0.31,0.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,1.559,0.98,1,0.14,0.00,0.24,0.02,0.01,0.15,0.01,0.22,0.13,0.18,0.25,0.08,0.21,0.15,0.14,0.33,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,1.627,0.98,1,0.00,0.19,0.26,0.31,0.11,0.49,0.15,0.20,0.10,0.05,0.17,0.07,0.20,0.11,0.15,0.25,0.29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,1.694,0.98,1,0.00,0.14,0.07,0.07,0.01,0.30,0.16,0.35,0.08,0.03,0.58,0.23,0.23,0.15,0.10,0.03,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,1.761,0.98,1,0.03,0.15,0.11,0.00,0.07,0.00,0.18,0.21,0.10,0.25,0.21,0.27,0.16,0.22,0.05,0.21,0.12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,1.827,0.98,1,0.02,0.00,0.16,0.00,0.13,0.17,0.04,0.11,0.10,0.13,0.04,0.23,0.21,0.20,0.25,0.14,0.19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,1.894,0.98,1,0.09,0.25,0.20,0.00,0.05,0.31,0.09,0.10,0.20,0.03,0.14,0.11,0.12,0.38,0.02,0.27,0.40,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,1.959,0.98,1,0.06,0.01,0.10,0.28,0.01,0.26,0.12,0.11,0.11,0.20,0.12,0.07,0.11,0.27,0.15,0.24,0.29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,2.027,0.98,1,0.28,0.12,0.06,0.46,0.10,0.24,0.14,0.06,0.19,0.06,0.17,0.00,0.23,0.17,0.01,0.31,0.30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,2.093,0.98,1,0.17,0.16,0.13,0.03,0.00,0.02,0.00,0.00,0.12,0.47,0.09,0.18,0.20,0.27,0.18,0.13,0.09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,2.159,0.98,1,0.05,0.06,0.12,0.10,0.09,0.22,0.16,0.25,0.23,0.21,0.18,0.17,0.01,0.22,0.32,0.24,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
