frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.030,0.98,1,0.43,0.44,1.20,0.35,0.00,0.81,0.49,0.00,0.00,0.14,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.597,0.98,1,0.85,1.24,0.74,1.31,0.00,0.00,0.42,0.00,0.00,0.38,0.01,0.00,0.00,0.00,0.00,0.26,1.72,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.699,0.98,1,0.80,1.06,0.73,1.02,0.00,0.52,0.00,0.00,0.00,0.18,0.00,0.93,0.12,0.76,0.34,0.02,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0,0.763,0.98,1,0.92,1.23,0.49,1.36,0.00,0.48,0.00,0.00,0.00,0.15,0.00,1.55,0.39,0.97,0.95,0.65,0.49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.832,0.98,1,0.46,0.54,0.46,0.51,0.00,0.00,0.22,0.00,0.00,0.20,0.16,0.69,0.00,0.72,0.28,0.88,0.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.964,0.98,1,0.50,0.63,0.55,0.94,0.00,0.50,0.42,0.00,0.00,0.24,0.00,0.00,0.00,1.54,0.00,1.25,0.83,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,0,1.029,0.98,1,0.57,0.83,0.65,0.63,0.00,0.86,0.20,0.00,0.00,0.45,0.00,0.22,0.00,1.26,0.00,0.70,1.17,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0,1.096,0.98,1,0.74,1.29,0.56,0.06,0.00,0.04,0.44,0.00,0.00,0.38,0.00,0.15,0.00,0.33,0.49,0.84,1.33,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1.163,0.98,1,1.01,1.08,0.54,0.22,0.00,0.00,0.77,0.00,0.00,0.33,0.00,0.00,0.01,0.00,0.38,0.27,1.08,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,1.230,0.98,1,0.75,0.93,0.15,0.00,0.04,0.05,0.97,0.42,0.19,0.45,0.01,0.00,0.18,0.38,0.15,0.02,0.54,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,1.297,0.98,1,0.67,0.71,0.23,0.86,0.00,0.04,0.57,0.35,0.36,0.82,0.31,0.30,0.00,1.26,1.09,0.00,0.37,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0,1.365,0.93,1,0.03,0.00,0.00,0.18,0.06,0.38,0.25,0.22,0.49,0.66,0.49,0.90,0.00,2.78,0.86,0.75,0.00,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
13,0,1.430,0.98,1,0.00,0.00,0.03,0.16,0.12,0.38,0.57,0.35,0.20,0.04,0.00,0.31,0.00,1.73,0.53,0.92,0.14,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,0,1.497,0.98,1,0.92,0.67,0.88,0.36,0.00,0.37,0.27,0.43,0.00,0.04,0.75,0.31,1.81,0.00,1.17,1.00,1.02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
