frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.029,0.98,1,0.43,0.44,1.66,0.35,0.00,0.00,0.49,0.00,0.00,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.595,0.98,1,0.76,1.03,1.38,0.45,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.21,0.60,0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.663,0.98,1,0.57,0.91,1.38,0.74,0.00,0.24,0.56,0.00,0.00,0.00,0.16,0.62,0.16,0.33,0.77,0.43,0.23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0,0.730,0.98,1,0.70,0.83,1.59,0.71,0.00,0.07,0.44,0.00,0.00,0.00,0.22,0.72,0.00,0.36,0.68,0.69,0.16,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0,0.797,0.98,1,0.58,0.73,1.83,0.43,0.00,0.29,0.37,0.00,0.00,0.00,0.12,0.30,0.37,0.37,0.53,0.53,0.70,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0,0.863,0.98,1,0.39,0.62,1.48,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.14,0.17,0.32,0.37,0.43,0.58,0.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.931,0.98,1,0.52,0.72,1.60,0.10,0.00,0.00,0.41,0.00,0.00,0.00,0.29,0.52,0.19,0.48,0.51,0.45,0.81,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.997,0.98,1,0.63,0.88,1.66,0.29,0.00,0.23,0.46,0.00,0.00,0.00,0.00,0.35,0.06,0.49,0.55,0.42,1.11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0,1.064,0.98,1,0.65,0.76,1.65,0.16,0.00,0.36,0.46,0.00,0.00,0.00,0.22,0.23,0.29,0.44,0.38,0.63,0.96,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,1.131,0.98,1,0.21,0.01,0.46,0.21,0.13,0.24,0.23,0.03,0.08,0.11,0.06,0.18,0.23,0.01,0.03,0.35,0.88,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,1.197,0.98,1,0.30,0.14,0.40,0.31,0.13,0.28,0.34,0.12,0.07,0.33,0.15,0.25,0.42,0.04,0.25,0.16,0.78,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,1.265,0.98,1,0.27,0.01,0.69,0.02,0.00,0.17,0.21,0.09,0.07,0.32,0.27,0.23,0.31,0.02,0.50,0.28,1.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0,1.331,0.98,1,0.36,0.00,0.76,0.01,0.00,0.11,0.15,0.12,0.10,0.38,0.23,0.12,0.29,0.02,0.18,0.15,1.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0,1.397,0.98,1,0.32,0.14,0.60,0.14,0.03,0.00,0.23,0.00,0.04,0.30,0.07,0.14,0.16,0.10,0.43,0.00,1.72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,0,1.464,0.98,1,0.09,0.00,0.60,0.00,0.00,0.00,0.18,0.01,0.00,0.17,0.29,0.32,0.24,0.15,0.22,0.00,1.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,0,1.531,0.98,1,0.03,0.00,0.35,0.08,0.02,0.03,0.20,0.20,0.06,0.47,0.00,0.56,0.22,0.11,0.02,0.04,1.56,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,0,1.598,0.98,1,0.14,0.01,0.47,0.01,0.12,0.19,0.36,0.05,0.09,0.31,0.00,0.39,0.30,0.11,0.20,0.08,1.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,0,1.665,0.98,1,0.00,0.10,0.37,0.50,0.16,0.00,0.38,0.05,0.15,0.60,0.00,0.29,0.29,0.30,0.00,0.35,1.73,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19,0,1.731,0.98,1,0.12,0.35,0.27,0.38,0.31,0.02,0.50,0.17,0.09,0.61,0.37,0.53,0.66,0.28,0.00,0.32,1.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
20,0,1.798,0.98,1,0.03,0.08,0.53,0.59,0.42,0.08,0.38,0.16,0.16,0.67,0.14,0.41,0.69,0.07,0.04,0.34,1.20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
21,0,1.863,0.98,1,0.02,0.14,0.40,0.57,0.36,0.25,0.30,0.22,0.29,0.84,0.19,0.47,0.60,0.01,0.00,0.25,1.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
22,0,1.929,0.98,1,0.13,0.27,0.34,0.46,0.47,0.15,0.27,0.07,0.24,0.87,0.33,0.47,0.92,0.00,0.02,0.32,1.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
23,0,1.996,0.98,1,0.00,0.45,0.24,0.36,0.44,0.08,0.21,0.16,0.13,0.40,0.32,0.61,0.60,0.04,0.25,0.45,1.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24,0,2.062,0.98,1,0.01,0.82,0.49,0.13,0.33,0.18,0.45,0.12,0.09,0.52,0.42,0.56,0.60,0.13,0.16,0.20,1.18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25,0,2.128,0.98,1,0.00,0.23,0.55,0.14,0.45,0.15,0.28,0.24,0.22,0.62,0.22,0.38,0.70,0.18,0.46,0.31,0.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
26,0,2.195,0.98,1,0.00,0.37,0.46,0.29,0.41,0.47,0.41,0.15,0.16,0.49,0.14,0.40,0.48,0.23,0.45,0.28,1.00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27,0,2.262,0.98,1,0.00,0.16,0.35,0.03,0.37,0.22,0.46,0.00,0.09,0.47,0.21,0.55,0.43,0.31,0.51,0.69,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28,0,2.328,0.98,1,0.00,0.55,0.22,0.00,0.45,0.27,0.40,0.19,0.12,0.42,0.27,0.46,0.67,0.28,0.67,0.45,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29,0,2.395,0.98,1,0.12,0.56,0.20,0.18,0.27,0.07,0.60,0.21,0.07,0.45,0.33,0.26,0.62,0.30,0.38,0.59,0.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30,0,2.462,0.98,1,0.14,0.45,0.15,0.47,0.43,0.17,0.49,0.33,0.21,0.49,0.18,0.35,0.31,0.33,0.47,0.47,0.70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31,0,2.529,0.98,1,0.13,0.32,0.30,0.18,0.33,0.00,0.43,0.24,0.15,0.47,0.22,0.45,0.49,0.21,0.56,0.32,0.28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32,0,2.595,0.98,1,0.02,0.14,0.26,0.25,0.34,0.38,0.58,0.04,0.17,0.59,0.42,0.28,0.47,0.19,0.60,0.33,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33,0,2.662,0.98,1,0.14,0.24,0.14,0.24,0.54,0.51,0.35,0.29,0.24,0.32,0.24,0.35,0.61,0.19,0.54,0.38,0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,0,2.731,0.98,1,0.24,0.67,0.24,0.39,0.46,0.00,0.26,0.21,0.10,0.46,0.23,0.32,0.44,0.33,0.58,0.48,0.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,0,2.797,0.98,1,0.20,0.58,0.21,0.71,0.39,0.03,0.27,0.25,0.20,0.45,0.61,0.37,0.28,0.26,0.66,0.47,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,0,2.863,0.98,1,0.12,0.22,0.12,0.78,0.28,0.47,0.25,0.12,0.23,0.50,0.12,0.37,0.41,0.16,0.60,0.28,0.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,0,2.928,0.98,1,0.17,0.52,0.21,0.41,0.35,0.57,0.36,0.07,0.07,0.30,0.30,0.18,0.17,0.27,0.77,0.49,0.30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,0,2.995,0.98,1,0.18,0.27,0.19,0.46,0.31,0.55,0.15,0.01,0.11,0.62,0.09,0.44,0.22,0.34,0.66,0.60,0.28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,0,3.064,0.98,1,0.09,0.42,0.08,0.28,0.35,0.30,0.24,0.10,0.17,0.61,0.23,0.39,0.44,0.30,0.62,0.43,0.29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,0,3.129,0.98,1,0.06,0.41,0.22,0.00,0.53,1.04,0.51,0.12,0.13,0.42,0.33,0.37,0.15,0.20,0.52,0.26,0.00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,0,3.196,0.98,1,0.10,0.73,0.28,0.55,0.48,1.47,0.51,0.30,0.17,0.16,0.23,0.52,0.05,0.46,0.45,0.31,0.00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,0,3.263,0.98,1,0.00,0.32,0.16,0.31,0.55,1.04,0.32,0.25,0.11,0.30,0.17,0.36,0.10,0.47,0.62,0.32,0.00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,3.330,0.98,1,0.00,0.55,0.29,0.53,0.55,1.20,0.41,0.00,0.00,0.19,0.19,0.40,0.17,0.55,0.56,0.34,0.00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,0,3.394,0.98,1,0.01,0.34,0.14,0.23,0.54,1.38,0.33,0.13,0.10,0.26,0.10,0.37,0.12,0.49,0.65,0.07,0.00,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,0,3.461,0.98,1,0.00,0.20,0.16,0.53,0.64,1.23,0.44,0.14,0.14,0.26,0.03,0.27,0.30,0.38,0.61,0.26,0.00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,3.528,0.98,1,0.11,0.15,0.00,0.44,0.47,1.03,0.18,0.06,0.21,0.13,0.17,0.13,0.20,0.61,0.38,0.18,0.00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,0,3.595,0.98,1,0.02,0.33,0.13,0.58,0.56,1.08,0.24,0.28,0.08,0.19,0.39,0.50,0.09,0.49,0.35,0.04,0.00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,3.662,0.98,1,0.00,0.72,0.00,0.79,0.47,1.21,0.30,0.22,0.11,0.13,0.24,0.22,0.03,0.58,0.52,0.32,0.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,3.729,0.98,1,0.13,0.46,0.28,0.73,0.39,1.32,0.19,0.02,0.09,0.29,0.20,0.30,0.33,0.52,0.49,0.28,0.40,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,3.794,0.98,1,0.05,0.49,0.01,0.52,0.26,1.06,0.24,0.08,0.04,0.36,0.17,0.16,0.09,0.45,0.56,0.09,0.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,0,3.862,0.98,1,0.00,0.19,0.01,0.45,0.38,1.08,0.18,0.06,0.11,0.28,0.21,0.16,0.06,0.47,0.53,0.09,0.35,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,0,3.928,0.98,1,0.00,0.20,0.21,0.40,0.38,0.85,0.32,0.03,0.00,0.06,0.39,0.20,0.03,0.47,0.58,0.14,0.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,0,3.995,0.98,1,0.16,0.54,0.31,0.73,0.45,1.66,0.31,0.26,0.00,0.16,0.36,0.25,0.31,0.32,0.43,0.36,0.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,0,4.063,0.98,1,0.14,0.46,0.20,0.83,0.41,1.31,0.22,0.16,0.05,0.27,0.33,0.08,0.20,0.38,0.58,0.22,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
