frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.030,0.98,1,0.43,0.44,2.26,0.35,0.00,0.00,0.49,0.00,0.00,0.00,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.530,0.98,1,1.24,1.02,1.00,1.51,0.00,0.00,0.95,0.00,0.00,0.00,0.22,0.00,0.00,0.94,0.98,0.46,0.00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.729,0.98,1,0.96,0.71,1.22,0.77,0.00,0.00,0.54,0.00,0.00,0.00,0.38,0.85,0.00,0.90,0.72,0.28,0.00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,0,0.796,0.98,1,1.27,1.11,1.29,0.41,0.00,0.20,0.50,0.00,0.00,0.00,0.40,0.98,0.00,0.62,0.70,0.01,0.00,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.896,0.98,1,1.16,1.15,1.74,0.67,0.00,0.21,0.58,0.00,0.00,0.00,0.30,0.66,0.20,0.23,0.77,0.48,0.47,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.963,0.98,1,0.87,1.35,1.76,0.42,0.00,0.00,0.57,0.00,0.07,0.00,0.47,0.49,0.30,0.03,0.90,0.35,0.57,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0,1.063,0.98,1,0.93,0.81,2.16,0.67,0.00,0.15,0.69,0.00,0.09,0.08,0.49,0.63,0.30,0.07,1.07,0.30,0.71,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1.131,0.98,1,1.19,0.74,1.67,1.24,0.00,0.00,0.35,0.00,0.00,0.00,0.34,0.30,0.62,0.00,1.41,0.33,2.86,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0,1.196,0.98,1,0.76,0.40,1.65,1.31,0.00,0.00,0.31,0.00,0.00,0.20,0.36,0.34,0.85,0.00,0.79,0.54,2.16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1.264,0.98,1,0.02,0.00,0.42,1.10,0.09,0.22,0.04,0.00,0.24,0.76,0.00,0.30,0.78,0.27,0.07,0.23,2.56,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1.331,0.98,1,0.00,0.12,0.97,0.00,0.37,1.71,0.35,0.59,0.29,1.02,0.09,0.48,0.53,0.60,0.03,0.14,2.06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0,1.397,0.98,1,0.00,0.00,1.30,0.00,0.75,2.43,0.49,0.51,0.38,0.70,0.41,0.46,0.59,0.85,0.04,0.01,0.87,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0,1.464,0.98,1,0.04,0.03,1.52,0.21,0.69,2.48,0.56,0.46,0.34,0.82,0.23,0.04,0.83,0.79,0.04,0.02,0.62,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,1.529,0.98,1,0.02,0.06,1.17,0.85,0.81,2.57,0.45,0.40,0.28,0.92,0.18,0.26,0.94,0.86,0.21,0.43,0.54,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,1.596,0.98,1,0.36,0.02,1.29,0.41,0.67,2.36,0.26,0.41,0.15,0.58,0.19,0.14,0.70,0.82,0.27,0.24,0.52,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,1.663,0.98,1,0.68,0.32,1.39,0.11,0.80,2.42,0.36,0.56,0.24,0.93,0.03,0.60,0.68,0.79,0.00,0.26,0.61,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,1.729,0.98,1,0.50,0.00,1.50,0.32,0.83,2.54,0.26,0.55,0.31,0.90,0.00,0.01,0.85,0.66,0.18,0.57,0.69,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,1.796,0.98,1,0.46,0.28,1.42,0.52,0.67,2.43,0.18,0.52,0.29,0.97,0.13,0.27,0.80,0.85,0.01,0.35,0.48,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,1.866,0.98,1,0.68,0.46,1.29,0.56,0.57,2.41,0.13,0.22,0.22,0.71,0.18,0.23,0.61,0.87,0.17,0.07,0.74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,1.930,0.98,1,0.50,0.28,1.30,0.00,0.61,2.67,0.34,0.16,0.10,0.69,0.40,0.23,0.73,0.57,0.16,0.44,0.36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,1.997,0.98,1,0.64,0.31,1.10,0.02,0.57,2.53,0.32,0.22,0.06,0.66,0.18,0.14,0.74,0.56,0.00,0.31,0.45,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,2.063,0.98,1,0.55,0.70,1.16,0.40,0.49,2.11,0.25,0.23,0.02,0.73,0.13,0.32,0.95,0.58,0.03,0.40,0.59,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,2.130,0.98,1,0.27,0.33,1.10,0.05,0.59,2.03,0.33,0.18,0.14,0.87,0.23,0.32,0.73,0.59,0.24,0.46,0.38,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,2.196,0.98,1,0.48,0.31,0.81,0.39,0.65,2.12,0.43,0.28,0.06,1.01,0.31,0.21,0.74,0.68,0.13,0.12,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,2.262,0.98,1,0.25,0.06,0.58,0.42,0.68,2.34,0.26,0.21,0.17,0.96,0.23,0.17,0.83,0.52,0.14,0.49,0.33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,2.329,0.98,1,0.36,0.21,0.99,0.11,0.23,1.05,0.24,0.03,0.14,0.83,0.15,0.00,0.74,0.16,0.36,0.33,2.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
